	src	rank	dest
0	"""4017244"""	0.8166392844461525	"""CD284	_TLR4"""
1	"""31235"""	0.14715306046925286	"""Bacterial_secretion_system"""
2	"""92263"""	0.1513058765711249	"""CD281	_TLR1"""
3	"""361839"""	0.3180151957236682	"""Bacterial_secretion_system"""
4	"""228207"""	0.1056650447563316	"""MAPK_signaling_pathway_-_plant"""
5	"""922397"""	0.2022479695088859	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
6	"""810955"""	0.2642156573375999	"""CD127	_IL7R"""
7	"""137183"""	0.2349805052927513	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
8	"""949789"""	0.0880154918276726	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
9	"""4301566"""	0.14122511493232415	"""Bacteria"""
10	"""439036"""	0.08712136062434725	"""MET_family"""
11	"""580411"""	0.9949053640767158	"""CD129	_IL9R"""
12	"""1047041"""	0.3079706154875578	"""Adhesion_molecules_of_cell_surface"""
13	"""605681"""	0.2438079012809581	"""CD210	_IL10RA"""
14	"""895220"""	0.2908242487551034	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
15	"""585221"""	0.7516337203074491	"""CD284	_TLR4"""
16	"""420127"""	0.3133783782021037	"""CD284	_TLR4"""
17	"""875704"""	0.512589380726763	"""CD210	_IL10RA"""
18	"""865469"""	0.0816920490961745	"""Biofilm_formation_-_Escherichia_coli"""
19	"""827773"""	0.2231349559994817	"""Eukaryotes"""
20	"""585419"""	0.16650285532876094	"""Adhesion_molecules_of_cell_surface"""
21	"""92512"""	0.15104388154211945	"""CD206	_MRC1"""
22	"""1081231"""	0.11491209918974968	"""RET_family"""
23	"""664697"""	0.3349394814891649	"""CD129	_IL9R"""
24	"""19930"""	0.7023817852033823	"""Adhesion_molecules_of_cell_surface"""
25	"""716473"""	0.7512469620281974	"""CD210	_IL10RA"""
26	"""2534"""	0.8826931972709907	"""CD129	_IL9R"""
27	"""1060029"""	0.18493747210443168	"""CD223	_LAG3"""
28	"""579924"""	0.4221878009345043	"""Synthesis_and_degradation_of_ketone_bodies"""
29	"""590601"""	0.00013139136919342568	"""CD283	_TLR3"""
30	"""759916"""	0.24120616113931034	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
31	"""699027"""	0.5099431426722234	"""CD210	_IL10RA"""
32	"""705241"""	0.08647216147218376	"""AKT/PKB_family"""
33	"""461206"""	0.1568185000325959	"""CD210	_IL10RA"""
34	"""82171"""	0.4404923285338685	"""CD273	_PDCD1LG2"""
35	"""2554"""	0.2912975209077323	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
36	"""790545"""	0.2614858260322984	"""Synthesis_and_degradation_of_ketone_bodies"""
37	"""557665"""	0.12888423570715432	"""CD288	_TLR8"""
38	"""1111294"""	0.21550898952098926	"""CD281	_TLR1"""
39	"""795504"""	0.17393252201179155	"""Bacterial_secretion_system"""
40	"""771804"""	1.2312489510741296	"""CD210	_IL10RA"""
41	"""304640"""	0.516931219985965	"""CD284	_TLR4"""
42	"""4440670"""	0.36118154285842696	"""CD121b	_IL1R2"""
43	"""851938"""	0.2995355595673372	"""CD273	_PDCD1LG2"""
44	"""1011712"""	0.14928919856674533	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
45	"""32546"""	0.07625573156049377	"""AKT/PKB_family"""
46	"""580625"""	0.2492465300959737	"""CD281	_TLR1"""
47	"""300432"""	0.05795933502179562	"""CD121b	_IL1R2"""
48	"""1060565"""	0.16888517306628914	"""TNF_signaling_pathway"""
49	"""1010721"""	0.22297670608625447	"""CD223	_LAG3"""
50	"""4297838"""	0.3017208444862839	"""CD284	_TLR4"""
51	"""510422"""	0.4404197722829643	"""CD218b	_IL18RAP"""
52	"""1927234"""	0.2300281632652104	"""Bacterial_secretion_system"""
53	"""4338511"""	0.4148318532693728	"""CD210	_IL10RA"""
54	"""441265"""	0.3288440155963176	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
55	"""1101451"""	0.9725743370999476	"""CD121b	_IL1R2"""
56	"""984831"""	0.2708308736181626	"""CD218b	_IL18RAP"""
57	"""1017181"""	0.04246648564143688	"""CD126	_IL6R"""
58	"""591699"""	0.4392082870460232	"""Synthesis_and_degradation_of_ketone_bodies"""
59	"""769222"""	0.10539320520314854	"""CD127	_IL7R"""
60	"""415661"""	0.4343204539614619	"""Adhesion_molecules_of_cell_surface"""
61	"""607386"""	0.4746759835930505	"""CD126	_IL6R"""
62	"""749837"""	0.13977365032380668	"""Cytokines"""
63	"""35291"""	0.7320262411789542	"""CD284	_TLR4"""
64	"""334554"""	0.050702854310912863	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
65	"""1004910"""	0.14553835221670405	"""AKT/PKB_family"""
66	"""4315533"""	1.74582995071048e-07	"""CD284	_TLR4"""
67	"""1646259"""	0.10389460684949736	"""Adhesion_molecules_of_cell_surface"""
68	"""564411"""	0.1575455093248883	"""CD127	_IL7R"""
69	"""891635"""	0.1587138136382769	"""CD210	_IL10RA"""
70	"""583388"""	0.2497639214984263	"""ALK_family"""
71	"""1104733"""	0.2424742196679597	"""CD210	_IL10RA"""
72	"""610107"""	0.23998250368448998	"""CD206	_MRC1"""
73	"""851704"""	0.4073822277419186	"""CD129	_IL9R"""
74	"""1080820"""	8.063870060109833e-08	"""MET_family"""
75	"""103229"""	0.17798529323600007	"""CD281	_TLR1"""
76	"""942852"""	0.3375174681797584	"""Synthesis_and_degradation_of_ketone_bodies"""
77	"""4383820"""	0.5874915374021674	"""CD129	_IL9R"""
78	"""71649"""	0.3390642580223606	"""MAPK_family"""
79	"""122517"""	0.2521734368811982	"""Synthesis_and_degradation_of_ketone_bodies"""
80	"""1141758"""	0.2014253641249289	"""CD127	_IL7R"""
81	"""1081815"""	0.16795145424858812	"""CD281	_TLR1"""
82	"""988314"""	0.10902140024468583	"""MET_family"""
83	"""2708478"""	0.5565480222011484	"""Adhesion_molecules_of_cell_surface"""
84	"""278795"""	0.4388831985531709	"""CD127	_IL7R"""
85	"""342427"""	0.13873549974686225	"""CD129	_IL9R"""
86	"""356574"""	0.2025679777518932	"""Toll-like_receptors"""
87	"""862115"""	0.5156825060786148	"""CD129	_IL9R"""
88	"""4298633"""	0.15970803920356996	"""MET_family"""
89	"""4307652"""	0.0738601399425415	"""AKT/PKB_family"""
90	"""650048"""	0.25223537161686577	"""Adhesion_molecules_of_cell_surface"""
91	"""114813"""	0.19201366900463374	"""Synthesis_and_degradation_of_ketone_bodies"""
92	"""242577"""	0.6516246570850095	"""CD210	_IL10RA"""
93	"""987790"""	0.34190637203622576	"""CD129	_IL9R"""
94	"""40401"""	0.04077045836833869	"""Biofilm_formation_-_Escherichia_coli"""
95	"""209603"""	0.23384805099793626	"""CD281	_TLR1"""
96	"""650816"""	0.4811280186085608	"""CD288	_TLR8"""
97	"""660953"""	0.1362275589518766	"""ALK_family"""
98	"""897411"""	0.4693048441392521	"""CD206	_MRC1"""
99	"""4332717"""	0.1749511655182973	"""Bacterial_secretion_system"""
100	"""898309"""	0.11204957641325552	"""Bacterial_toxins"""
101	"""810167"""	0.11354877904292025	"""CD121a	_IL1R1"""
102	"""555945"""	0.2138878988170192	"""CD126	_IL6R"""
103	"""816868"""	0.11089575951210598	"""Synthesis_and_degradation_of_ketone_bodies"""
104	"""574655"""	0.11088639310436836	"""CD281	_TLR1"""
105	"""1066621"""	0.1772662352475296	"""AKT/PKB_family"""
106	"""802011"""	0.4096293833098279	"""CD210	_IL10RA"""
107	"""950620"""	0.200216789174416	"""CD126	_IL6R"""
108	"""716006"""	0.15847330659928854	"""CD218b	_IL18RAP"""
109	"""516569"""	0.2234652963767979	"""CD281	_TLR1"""
110	"""815859"""	0.24420861992298445	"""CD273	_PDCD1LG2"""
111	"""1106617"""	0.6508439204984169	"""CD284	_TLR4"""
112	"""416617"""	0.05312985972066017	"""EGFR_family"""
113	"""269907"""	0.13675235234781954	"""Bacterial_secretion_system"""
114	"""518743"""	0.16700810186614526	"""IL6/12_receptor_family"""
115	"""1090273"""	0.2548091505241076	"""Bacteria"""
116	"""787709"""	0.2869327015183385	"""Toll-like_receptors"""
117	"""647097"""	0.4035205591453629	"""CD126	_IL6R"""
118	"""971907"""	0.20066707476343493	"""Eukaryotes"""
119	"""92629"""	0.04889176118942288	"""CD181	_CXCR1"""
120	"""968954"""	0.2359845906200247	"""Eukaryotes"""
121	"""650001"""	0.36685028481502857	"""CD129	_IL9R"""
122	"""559527"""	0.3961624018717904	"""CD129	_IL9R"""
123	"""854050"""	0.18736060104573615	"""Eukaryotes"""
124	"""1087471"""	0.4917436669507532	"""Adhesion_molecules_of_cell_surface"""
125	"""1108638"""	0.8601472619041599	"""CD129	_IL9R"""
126	"""788632"""	0.19812859479166745	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
