#OTUID	Interest
'processing_and_CCA_adding_factors	N
'processing_factors	N
A_Estrogen_receptor	N
A_Hepatocyte_nuclear_factor_4_receptor	N
A_Nerve_growth_factor_IB_like_receptor	N
A_Thyroid_hormone_receptor_(THR)	N
AAA_proteases	N
ABC_transporters	N
ABC1_family	N
ABCA_(ABC1)_subfamily	N
ABCB_(MDR/TAP)_subfamily	N
ABCC_(CFTR/MRP)_subfamily	N
ABCD_(ALD)_subfamily	N
ABCG_(White)_subfamily	N
ABL_family	N
ABO_blood_group	N
Accessory_factors_involved_in_transport	N
Acetylcholine_(nicotinic)	N
Acid-sensing_ion_channel_(ASIC)	N
ACK_family	N
ACP1	N
Actin_filaments_/_Microfilaments	N
Actin-binding_proteins	N
Acting_on_a_heme_group_of_donors	N
Acting_on_a_peroxide_as_acceptor	N
Acting_on_a_sulfur_group_of_donors	N
Acting_on_acid_anhydrides	N
Acting_on_carbon-carbon_bonds	N
"Acting_on_carbon-nitrogen_bonds,_other_than_peptide_bonds"	N
Acting_on_CH_or_CH2_groups	N
Acting_on_diphenols_and_related_substances_as_donors	N
Acting_on_ester_bonds	N
Acting_on_ether_bonds	N
Acting_on_iron-sulfur_proteins_as_donors	N
Acting_on_NADH_or_NADPH	N
Acting_on_other_nitrogenous_compounds_as_donors	N
"Acting_on_paired_donors,_with_incorporation_or_reduction_of_molecular_oxygen"	N
Acting_on_peptide_bonds_(peptidases)	N
Acting_on_phosphorus-nitrogen_bonds	N
Acting_on_single_donors_with_incorporation_of_molecular_oxygen_(oxygenases)	N
Acting_on_sulfur-nitrogen_bonds	N
Acting_on_superoxide_as_acceptor	N
Acting_on_the_aldehyde_or_oxo_group_of_donors	N
Acting_on_the_CH-CH_group_of_donors	N
Acting_on_the_CH-NH_group_of_donors	N
Acting_on_the_CH-NH2_group_of_donors	N
Acting_on_the_CH-OH_group_of_donors	N
Acute_myeloid_leukemia	N
Acyltransferases	N
Adherens_junction	N
Adhesion_molecules_of_cell_surface	N
Adipocytokine_signaling_pathway	N
Adrenergic_signaling_in_cardiomyocytes	N
