	src	rank	dest
0	"""4017244"""	0.04432667061277152	"""Ras_signaling_pathway"""
1	"""31235"""	0.045842344953623985	"""Non-small_cell_lung_cancer"""
2	"""92263"""	0.03129202612368237	"""Butanoate_metabolism"""
3	"""361839"""	0.06684103014111065	"""Insulin_signaling_pathway"""
4	"""228207"""	0.046885667684375326	"""Ras_signaling_pathway"""
5	"""922397"""	0.013754374624033968	"""Tight_junction"""
6	"""810955"""	0.02990691227705289	"""Non-small_cell_lung_cancer"""
7	"""137183"""	0.029069736346701413	"""mTOR_signaling_pathway"""
8	"""949789"""	0.045574064765789166	"""MAPK_signaling_pathway"""
9	"""4301566"""	0.05578403228718333	"""Insulin_signaling_pathway"""
10	"""439036"""	0.061400368699639815	"""Tight_junction"""
11	"""580411"""	0.022319248031950976	"""Lipid_metabolism"""
12	"""1047041"""	0.026748576220319672	"""Butanoate_metabolism"""
13	"""605681"""	0.06391840102895546	"""MAPK_signaling_pathway"""
14	"""895220"""	0.012076647587318372	"""MAPK_signaling_pathway"""
15	"""585221"""	6.211583029347212e-07	"""Ras_signaling_pathway"""
16	"""420127"""	0.04514613314538656	"""IL-17_signaling_pathway"""
17	"""875704"""	0.02423199210057844	"""Synthesis_and_degradation_of_ketone_bodies"""
18	"""865469"""	0.017149312529955482	"""Non-small_cell_lung_cancer"""
19	"""827773"""	0.044577943507474765	"""Non-small_cell_lung_cancer"""
20	"""585419"""	0.0210456673734572	"""VEGF_signaling_pathway"""
21	"""92512"""	0.028677095973340037	"""Ras_signaling_pathway"""
22	"""1081231"""	0.05311410153944225	"""Ras_signaling_pathway"""
23	"""664697"""	0.02053236734610539	"""Synthesis_and_degradation_of_ketone_bodies"""
24	"""19930"""	0.03183664202098894	"""Non-small_cell_lung_cancer"""
25	"""716473"""	0.11128977251974363	"""Wnt_signaling_pathway"""
26	"""2534"""	0.10399309499531706	"""MAPK_signaling_pathway"""
27	"""1060029"""	0.039002881815934	"""VEGF_signaling_pathway"""
28	"""579924"""	0.05902256723563731	"""Ras_signaling_pathway"""
29	"""590601"""	0.0009318586988614568	"""Bacterial_invasion_of_epithelial_cells"""
30	"""759916"""	0.04143654602641872	"""MAPK_signaling_pathway"""
31	"""699027"""	0.05330601492777617	"""FoxO_signaling_pathway"""
32	"""705241"""	0.005713259154918899	"""mTOR_signaling_pathway"""
33	"""461206"""	0.0879947340943288	"""Ras_signaling_pathway"""
34	"""82171"""	0.10134627219617902	"""Non-small_cell_lung_cancer"""
35	"""2554"""	0.03471055334191683	"""Non-small_cell_lung_cancer"""
36	"""790545"""	0.026603499799977826	"""Ras_signaling_pathway"""
37	"""557665"""	0.001678454873193064	"""Lipid_metabolism"""
38	"""1111294"""	0.04768242839327122	"""Non-small_cell_lung_cancer"""
39	"""795504"""	0.054637162392536964	"""Wnt_signaling_pathway"""
40	"""771804"""	0.03141460923740327	"""MAPK_signaling_pathway"""
41	"""304640"""	0.03254911183648704	"""Non-small_cell_lung_cancer"""
42	"""4440670"""	0.07121596826974602	"""mTOR_signaling_pathway"""
43	"""851938"""	0.05203207961224498	"""Insulin_signaling_pathway"""
44	"""1011712"""	0.02372040053319059	"""Bacterial_invasion_of_epithelial_cells"""
45	"""32546"""	0.04820526548827246	"""Th17_cell_differentiation"""
46	"""580625"""	0.04187516667066405	"""Non-small_cell_lung_cancer"""
47	"""300432"""	0.014813752257331341	"""Synthesis_and_degradation_of_ketone_bodies"""
48	"""1060565"""	0.07081144826817896	"""mTOR_signaling_pathway"""
49	"""1010721"""	0.051484619026231866	"""Ras_signaling_pathway"""
50	"""4297838"""	0.038683503164437034	"""mTOR_signaling_pathway"""
51	"""510422"""	0.042985072297326114	"""Bacterial_invasion_of_epithelial_cells"""
52	"""1927234"""	0.028630993683662537	"""Ras_signaling_pathway"""
53	"""4338511"""	0.06802002124037193	"""Lipid_metabolism"""
54	"""441265"""	0.016247475700831432	"""Ras_signaling_pathway"""
55	"""1101451"""	0.0406607731863164	"""Epithelial_cell_signaling_in_Helicobacter_pylori_infection"""
56	"""984831"""	0.032568943363907636	"""Non-small_cell_lung_cancer"""
57	"""1017181"""	0.04216022269114339	"""Butanoate_metabolism"""
58	"""591699"""	0.060789926130962464	"""Synthesis_and_degradation_of_ketone_bodies"""
59	"""769222"""	0.017087363456525485	"""Hippo_signaling_pathway"""
60	"""415661"""	5.770083132490207e-08	"""Hippo_signaling_pathway"""
61	"""607386"""	0.04186287088359306	"""Non-small_cell_lung_cancer"""
62	"""749837"""	0.07975798802222041	"""Ras_signaling_pathway"""
63	"""35291"""	0.03725701812213216	"""Wnt_signaling_pathway"""
