#SampleID	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Intercept	C(Advanced_Stage_label)[T.Local]	C(Advanced_Stage_label)[T.n.a]	C(Smoking_status)[T.Current]	C(Smoking_status)[T.Former]	C(Smoking_status)[T.Never]	C(Smoking_status)[T.current]
4017244	k__Bacteria	p__Spirochaetes	c__[Leptospirae]	o__[Leptospirales]	f__Leptospiraceae	g__Turneriella	s__	1.522355165	0.600911455	0.484971873	1.18666733	1.09731662	1.218943927	1.204768536
31235	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia	s__	-0.327546034	0.149172084	0.807207279	1.834724671	0.76633462	-1.905400183	1.057979253
92263	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Selenomonas	s__	-0.010629449	-0.857474131	3.12832319	-0.401276344	0.788348463	-1.784286883	-0.854694011
361839	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	f__	g__	s__	-1.042348538	0.82055472	-0.761778601	-2.258732193	0.044423577	-1.736769106	-0.128879311
228207	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__	s__	-1.16875783	1.597366409	-0.65958298	-0.04324066	-0.846889737	-1.511475947	-0.054994467
922397	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__	-0.518575344	-0.431742234	3.814503304	0.834827281	0.536786732	0.828833762	2.7088536
810955	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Chryseobacterium	s__	0.355673041	1.174388902	1.405346982	1.581057793	2.159370896	2.112018857	-1.019342306
137183	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella	s__	-0.799371872	0.460047232	-0.943408616	-0.085364931	0.523542103	-1.708012965	0.3089084
949789	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__	s__	-0.168388043	-0.410101218	1.334056727	-0.077833765	0.361573335	0.873623643	2.776353237
4301566	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	-0.932508383	-0.319994552	0.917704604	0.116142041	0.775503513	0.002411578	3.309984562
439036	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	s__	1.245489504	-1.495898886	-2.409926065	1.596140272	-0.801603559	-0.034366634	-1.586793783
580411	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__	s__	0.251533713	-0.713612957	-1.717503913	1.099133401	0.284450111	1.455947254	-1.072849872
