,"""Bacterial_invasion_of_epithelial_cells""","""Butanoate_metabolism""","""Epithelial_cell_signaling_in_Helicobacter_pylori_infection""","""FoxO_signaling_pathway""","""Hippo_signaling_pathway""","""IL-17_signaling_pathway""","""Insulin_signaling_pathway""","""Intestinal_immune_network_for_IgA_production""","""Lipid_metabolism""","""MAPK_signaling_pathway""","""mTOR_signaling_pathway""","""Non-small_cell_lung_cancer""","""p53_signaling_pathway""","""Pathways_in_cancer""","""PI3K-Akt_signaling_pathway""","""Ras_signaling_pathway""","""Synthesis_and_degradation_of_ketone_bodies""","""TGF-beta_signaling_pathway""","""Th17_cell_differentiation""","""Tight_junction""","""VEGF_signaling_pathway""","""Wnt_signaling_pathway"""
"""4017244""",-0.042457237216532544,0.04427939358506084,-0.1675274970001096,-0.05293199112903373,0.028906058905500638,-0.1676087492947003,0.03696144596120283,0.16784501632349996,-0.030038793727520545,0.05250913755211257,0.04065388537391935,0.026732633479270858,-0.056559630824988875,-0.04566586622756901,-0.0005469931451978424,0.04432667061277152,0.010205246484794435,0.013645961997622864,-0.03868551611506104,-0.015225927471708749,0.09628853246692365,0.05489421940974266
"""31235""",-0.025232617966484624,0.045190024408069907,-0.1674521565949349,-0.06675639755181934,0.025968919910419334,-0.13837887679498817,0.055367035639308504,-0.08262287684274977,-5.5886711817939444e-05,0.04400021190675368,0.024834784541409475,0.04584234495362399,-0.02987750138538475,-0.02460852701752386,0.02312713409119888,0.04148686515884342,0.0386360150990121,0.05789793461460041,-0.03168919025910838,-0.040435765691860415,0.07486641016286016,0.12989211633057213
"""92263""",-0.030559279306452112,0.03129202612368237,-0.08394132949785049,-0.017170136574264614,0.010089094306127446,-0.1088045331421665,0.009066548116809094,0.31067824315015097,-0.049558139447232336,0.025076369380702648,0.04018323749544589,-0.01181036280846218,-0.06518543209731745,-0.03990592662629669,-0.01722504459672883,0.032626620181571864,-0.004544547343489556,-0.041719226814903726,-0.012879479316248308,0.00361859996334676,0.06422758021918082,-0.043554881365605175
"""361839""",0.040198957907606275,0.08822892435550224,-0.040641582420405914,-0.03887194363082,-0.04804295733835637,-0.025805124436001844,0.06684103014111065,0.01731837441551673,-0.06197074009121187,-0.05739888668820983,0.05129890765995912,-0.05321186239939127,-0.11023614003428775,0.006538280303633931,0.03687053440513184,0.07168376742023906,0.13019477826795325,-0.05875259346987166,0.09101406908590082,-0.09608034705829019,-0.004815576800005911,-0.00435986959570131
"""228207""",-0.009132656153099604,0.05231261528316272,-0.10190884703934151,-0.040851551239780015,-0.00046807927917802243,-0.09682029443479648,0.041604665066791724,0.09208558124725547,-0.0358936583815363,0.008899985079955432,0.038147320775075336,-0.0031024222837992537,-0.06575284920617669,-0.02181369274794892,0.012004343386557469,0.046885667684375326,0.04828902258219964,-0.011601310583577133,0.009402171876007117,-0.03974549790918053,0.049148197228336576,0.02831128904869762
"""922397""",0.0025193512367538595,-0.007152501567956642,0.03973528920614635,0.019367022944471585,-0.007909266777847406,0.023404469812067192,-0.016660400566651728,0.10584986957622179,-0.01319929500072579,-0.011004629531122894,0.0017066981617760613,-0.02055541900363998,-0.007069338813945985,-0.0006195359511714615,-0.011892920308177884,-0.005796758889909364,-0.012674704759566762,-0.03231103872705974,0.010130646717575704,0.013754374624033967,-0.01171773306960298,-0.05790417931166789
"""810955""",3.820763477896899e-05,-0.020720979638070954,0.0025712940393067315,-0.0026052960365465175,0.012098974208763718,0.020459354431362545,-0.0022423545455513786,-0.18408305435253663,0.03757106227754787,0.011603012923425143,-0.023563403008320324,0.029906912277052892,0.04669001837025139,0.01176139855494252,0.007857675961124971,-0.01910281128360058,-0.013016565576486611,0.049590845512821065,-0.021044272295745733,0.006050679129509856,-0.009968989615815322,0.06014829103178638
"""137183""",-0.011594183598594808,0.036826444611630475,-0.0807610517922878,-0.029726740385029968,0.0031015833088031807,-0.07995367131601198,0.02808255513101862,0.0945506147901455,-0.027647922343227924,0.01186087564884415,0.02906973634670141,-0.0004916103640172798,-0.048584375704102775,-0.02001964510648864,0.005428140218062814,0.03380156216692306,0.02846597023720808,-0.009115447599359965,0.0009857499323394341,-0.02403216477119534,0.042330073611011224,0.01742350697762858
"""949789""",-0.0271540401725874,0.028295621252554283,-0.14072376638572606,-0.05314241827052848,0.0286533444926129,-0.11751818129326155,0.0396834592164955,-0.07194099829360748,0.0074501001509301515,0.04557406476578916,0.015339778338934053,0.0464143622934323,-0.012446001051185117,-0.022429485548077575,0.015316727562594869,0.027175043563794445,0.017095746849660844,0.057387587427638255,-0.03904960213613253,-0.022962014327020407,0.06597977478099179,0.11300089678269806
"""4301566""",0.04046320286298835,0.07744434362972091,-0.018059873120089442,-0.028227229128875875,-0.04820119830768255,-0.008185905801817071,0.05578403228718333,0.031107274257981238,-0.05880372025278227,-0.0590493148425946,0.04552173525475886,-0.055877878150819876,-0.10050153359501998,0.008688028544201698,0.03139755541585635,0.062418263745501655,0.11712101575908468,-0.06302493412043915,0.0891816773958873,-0.08491639426635475,-0.013102662415288596,-0.021176485151400193
